threads,trials,probability,megatrials/sec
 1,       1,  0.00%,  0.38,0.000006
 1,      10, 10.00%,  4.72,0.000000
 1,     100, 31.00%, 10.60,0.000000
 1,    1000, 28.30%, 10.79,0.000000
 1,   10000, 28.22%, 10.19,0.000000
 1,  100000, 29.00%, 23.17,0.000000
 1,  500000, 29.02%, 23.11,0.000000
 1, 1000000, 29.06%, 22.62,0.000000
 2,       1,  0.00%,  0.28,0.000010
 2,      10, 20.00%,  1.89,0.000002
 2,     100, 36.00%, 12.58,0.000000
 2,    1000, 29.90%, 21.96,0.000000
 2,   10000, 29.58%, 17.98,0.000000
 2,  100000, 29.24%, 27.83,0.000000
 2,  500000, 29.09%, 43.79,0.000000
 2, 1000000, 29.13%, 43.77,0.000000
 4,       1,  0.00%,  0.22,0.000014
 4,      10, 20.00%,  1.64,0.000002
 4,     100, 28.00%, 10.61,0.000000
 4,    1000, 28.80%, 22.61,0.000000
 4,   10000, 29.42%, 33.73,0.000000
 4,  100000, 29.21%, 43.84,0.000000
 4,  500000, 29.02%, 85.66,0.000000
 4, 1000000, 29.09%, 85.03,0.000000
 8,       1,100.00%,  0.22,0.000028
 8,      10, 30.00%,  2.22,0.000002
 8,     100, 29.00%, 14.54,0.000000
 8,    1000, 27.10%, 67.51,0.000000
 8,   10000, 28.92%, 72.98,0.000000
 8,  100000, 28.99%, 76.71,0.000000
 8,  500000, 28.98%,117.27,0.000000
 8, 1000000, 29.03%,156.77,0.000000
12,       1,  0.00%,  0.21,0.000021
12,      10, 50.00%,  1.53,0.000003
12,     100, 35.00%, 11.62,0.000000
12,    1000, 28.30%, 82.82,0.000000
12,   10000, 28.52%,110.33,0.000000
12,  100000, 29.27%,106.74,0.000000
12,  500000, 29.04%,155.89,0.000000
12, 1000000, 29.03%,194.55,0.000000
16,       1,  0.00%,  0.11,0.000046
16,      10, 30.00%,  1.26,0.000004
16,     100, 24.00%,  9.09,0.000000
16,    1000, 29.60%, 70.96,0.000000
16,   10000, 29.66%, 93.48,0.000000
16,  100000, 29.10%,142.26,0.000000
16,  500000, 29.14%,184.29,0.000000
16, 1000000, 29.10%,233.48,0.000000
