arr size,non simd,simd,speedup,non simd sum,simd sum, speedup
        1000	,    123.45	,    649.18	,  5.26	,    131.94	,    645.28	,  4.89
        2000	,    124.84	,    723.06	,  5.79	,    143.61	,    720.63	,  5.02
        4000	,    134.16	,    777.51	,  5.80	,    154.94	,    786.34	,  5.08
        8000	,    175.59	,    950.85	,  5.42	,    188.31	,    953.80	,  5.07
       16000	,    133.07	,    786.19	,  5.91	,    166.21	,    843.80	,  5.08
       32000	,    143.28	,    840.01	,  5.86	,    177.33	,    957.31	,  5.40
       64000	,    174.79	,    949.37	,  5.43	,    221.65	,   1183.59	,  5.34
      180000	,    246.20	,   1766.77	,  7.18	,    354.67	,   1806.19	,  5.09
      256000	,    328.42	,   1669.20	,  5.08	,    354.51	,   1793.82	,  5.06
      512000	,    327.83	,   1671.74	,  5.10	,    354.03	,   1679.48	,  4.74
     1024000	,    327.87	,   1672.20	,  5.10	,    354.00	,   1789.97	,  5.06
