number of trials, blocksize, MegaTrials/Second, probability
      1024,       8,    9.2996, 23.05%
      1024,      32,    8.6650, 22.27%
      1024,     128,    8.5242, 19.43%
      4096,       8,   36.5923, 23.07%
      4096,      32,   39.3725, 23.90%
      4096,     128,   37.5257, 22.68%
     16384,       8,  124.0611, 22.54%
     16384,      32,  147.1687, 22.56%
     16384,     128,  134.1368, 22.42%
     65536,       8,  334.4219, 22.78%
     65536,      32,  544.1020, 22.45%
     65536,     128,  558.6470, 22.78%
    262144,       8,  798.9077, 22.47%
    262144,      32, 1817.6170, 22.57%
    262144,     128, 2023.2157, 22.35%
   1048576,       8,  996.3513, 22.58%
   1048576,      32, 2617.4614, 22.47%
   1048576,     128, 3041.3961, 22.47%
   2097152,       8, 1068.7715, 22.45%
   2097152,      32, 3146.3825, 22.48%
   2097152,     128, 4552.3757, 22.52%
   4194304,       8, 1113.2704, 22.47%
   4194304,      32, 3881.5449, 22.51%
   4194304,     128, 5509.3102, 22.49%
